2026-05-30,14:21:11,car,4
2026-05-30,14:21:17,car,37
2026-05-30,14:21:18,car,44
2026-05-30,14:21:19,car,49
2026-05-30,14:21:21,car,70
2026-05-30,14:21:22,car,83
2026-05-30,14:21:22,car,69
2026-05-30,14:21:23,car,92
2026-05-30,14:21:27,car,121
2026-05-30,14:21:29,car,139
2026-05-30,14:21:31,car,156
2026-05-30,14:21:31,car,160
2026-05-30,14:21:33,car,122
2026-05-30,14:21:33,car,184
2026-05-30,14:21:34,car,190
2026-05-30,14:21:35,car,194
2026-05-30,14:21:38,car,217
2026-05-30,14:21:38,car,215
2026-05-30,14:21:38,car,216
2026-05-30,14:21:40,car,248
2026-05-30,14:21:42,car,259
2026-05-30,14:21:43,car,267
2026-05-30,14:21:46,car,299
2026-05-30,14:21:49,car,350
2026-05-30,14:21:53,car,398
2026-05-30,14:21:53,car,403
2026-05-30,14:21:58,car,440
2026-05-30,14:21:58,car,462
2026-05-30,14:21:59,car,472
2026-05-30,14:22:03,car,509
2026-05-30,14:22:03,car,510
2026-05-30,14:22:04,car,519
2026-05-30,14:22:09,car,609
2026-05-30,14:22:09,car,587
2026-05-30,14:22:09,car,593
2026-05-30,14:22:11,car,638
2026-05-30,14:22:12,car,604
2026-05-30,14:42:18,car,53
2026-05-30,14:42:20,car,83
2026-05-30,14:42:20,car,84
2026-05-30,14:42:21,car,92
2026-05-30,14:42:21,car,100
2026-05-30,14:42:22,car,67
2026-05-30,14:42:22,car,-1
2026-05-30,14:42:22,car,129
2026-05-30,14:42:22,car,132
2026-05-30,14:42:23,car,139
2026-05-30,14:42:23,car,149
2026-05-30,14:42:24,truck,166
2026-05-30,14:42:25,car,188
2026-05-30,14:42:25,car,195
2026-05-30,14:42:28,car,233
2026-05-30,14:42:28,car,234
2026-05-30,14:42:28,car,244
2026-05-30,14:42:29,car,254
2026-05-30,14:42:29,car,268
2026-05-30,14:42:29,car,269
2026-05-30,14:42:29,car,270
2026-05-30,14:42:29,car,278
2026-05-30,14:42:30,car,235
2026-05-30,14:42:31,car,272
2026-05-30,14:42:31,car,292
2026-05-30,14:42:31,car,297
2026-05-30,14:42:31,car,283
2026-05-30,14:42:31,car,308
2026-05-30,14:42:31,car,309
2026-05-30,14:42:31,car,310
2026-05-30,14:42:33,car,311
2026-05-30,14:42:34,car,342
2026-05-30,14:42:34,car,341
2026-05-30,14:42:34,car,353
2026-05-30,14:42:34,car,358
2026-05-30,14:42:35,car,372
2026-05-30,14:42:36,car,392
2026-05-30,14:42:36,car,405
2026-05-30,14:42:37,car,414
2026-05-30,14:42:37,car,416
2026-05-30,14:42:38,car,436
2026-05-30,14:42:38,car,450
2026-05-30,14:42:39,car,449
2026-05-30,14:42:41,car,487
2026-05-30,14:42:45,car,520
2026-05-30,14:42:46,car,534
2026-05-30,14:42:46,car,518
2026-05-30,14:42:46,car,551
2026-05-30,14:42:47,car,564
2026-05-30,14:42:49,car,583
2026-05-30,14:42:50,car,591
2026-05-30,14:42:51,car,615
2026-05-30,14:42:52,car,617
2026-05-30,14:42:52,car,620
2026-05-30,14:42:53,car,644
2026-05-30,14:42:54,car,674
